"host","parasite","ParType"
"Aotus_nancymaae","Phaneropsolus orbicularis","Helminth"
"Aotus_nancymaae","Primasubulura jacchi","Helminth"
"Aotus_nancymaae","Prosthenorchis elegans","Helminth"
"Aotus_nancymaae","Trypanoxyuris microon","Helminth"
"Aotus_trivirgatus","Alouattamyia baeri","Arthropod"
"Aotus_trivirgatus","Dipetalonema barbascalensis","Helminth"
"Aotus_trivirgatus","Dipetalonema gracile","Helminth"
"Aotus_trivirgatus","Yellow fever virus","Virus"
"Aotus_trivirgatus","Hepatovirus a","Virus"
"Aotus_trivirgatus","Mansonella marmosetae","Helminth"
"Aotus_trivirgatus","Salmonella enterica","Bacteria"
"Aotus_trivirgatus","Trypanosoma minasense","Protozoa"
"Aotus_trivirgatus","Trypanoxyuris microon","Helminth"
"Aotus_vociferans","Hymenolepis diminuta","Helminth"
"Aotus_vociferans","Iodamoeba butschlii","Protozoa"
"Aotus_vociferans","Plasmodium brasilianum","Protozoa"
"Aotus_vociferans","Schistosoma mansoni","Helminth"
"Arctictis_binturong","Rhipicephalus haemaphysaloides","Arthropod"
"Arctocebus_calabarensis","Trypanosoma brucei","Protozoa"
"Arctocebus_calabarensis","Trypanosoma congolense","Protozoa"
"Arctocephalus_australis","Contracaecum ogmorhini","Helminth"
"Arctocephalus_australis","Corynosoma australe","Helminth"
"Arctocephalus_australis","Influenza a virus","Virus"
"Arctocephalus_australis","Influenza b virus","Virus"
"Arctocephalus_australis","Mycobacterium bovis","Bacteria"
"Arctocephalus_australis","Mycobacterium tuberculosis","Bacteria"
"Arctocephalus_australis","Corynosoma cetaceum","Helminth"
"Arctocephalus_australis","Unicinaria lucasi","Helminth"
"Arctocephalus_forsteri","Escherichia coli","Bacteria"
"Arctocephalus_forsteri","Leptospira borgpetersenii","Bacteria"
"Arctocephalus_forsteri","Leptospira interrogans","Bacteria"
"Arctocephalus_forsteri","Parafilaroides normani","Helminth"
"Arctocephalus_galapagoensis","Mammalian orthoreovirus","Virus"
"Arctocephalus_gazella","Acinetobacter antiviralis","Bacteria"
"Arctocephalus_gazella","Aerococcus viridans","Bacteria"
"Arctocephalus_gazella","Arcanobacterium pyogenes","Bacteria"
"Arctocephalus_gazella","Bordetella bronchiseptica","Bacteria"
"Arctocephalus_gazella","Corynebacterium pseudotuberculosis","Bacteria"
"Arctocephalus_gazella","Enterococcus faecalis","Bacteria"
"Arctocephalus_gazella","Escherichia coli","Bacteria"
