Order	Family	Genus	Species	Island_endemicity_Strict_definition	Island_endemicity_Classical_definition	Extinct_or_extant										
CETARTIODACTYLA	CERVIDAE	Dicroceros	sp	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extinct										
RODENTIA	MURIDAE	Diplothrix	legata	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	PTEROPODIDAE	Dobsonia	anderseni	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	PTEROPODIDAE	Dobsonia	chapmani	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	PTEROPODIDAE	Dobsonia	crenulata	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	PTEROPODIDAE	Dobsonia	emersa	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	PTEROPODIDAE	Dobsonia	exoleta	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	PTEROPODIDAE	Dobsonia	inermis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	PTEROPODIDAE	Dobsonia	pannietensis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	PTEROPODIDAE	Dobsonia	praedatrix	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	PTEROPODIDAE	Dobsonia	viridis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
DIPROTODONTIA	MACROPODIDAE	Dorcopsis	atrata	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CARNIVORA	CANIDAE	Dusicyon	australis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extinct										
EULIPOTYPHLA	TALPIDAE	Dymecodon	pilirostris	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
AFROSORICIDA	TENRECIDAE	Echinops	telfairi	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Echiothrix	centrosa	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Echiothrix	leucura	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
PERAMELEMORPHIA	PERAMELIDAE	Echymipera	davidi	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
